November 6 2018,Multnomah,Away,Portland,103
November 6 2018,Portland,Home,Multnomah,111
November 6 2018,Navy,Away,Old Dominion,44
November 6 2018,Old Dominion,Home,Navy,67
November 6 2018,Omaha,Away,Minnesota,76
November 6 2018,Minnesota,Home,Omaha,104
November 6 2018,New Mexico,Away,Cal State Northridge,87
November 6 2018,Cal State Northridge,Home,New Mexico,84
November 6 2018,New Rochelle,Away,LIU-Brooklyn,76
November 6 2018,LIU-Brooklyn,Home,New Rochelle,109
November 6 2018,Newbury,Away,Dartmouth,39
November 6 2018,Dartmouth,Home,Newbury,114
November 6 2018,North Alabama,Away,Samford,74
November 6 2018,Samford,Home,North Alabama,91
November 6 2018,UNC Greensboro,Away,North Carolina A&T,74
November 6 2018,North Carolina A&T,Home,UNC Greensboro,66
November 6 2018,UNC Wilmington,Away,Campbell,93
November 6 2018,Campbell,Home,UNC Wilmington,97
November 6 2018,North Dakota State,Away,New Mexico State,56
November 6 2018,New Mexico State,Home,North Dakota State,73
November 6 2018,Northland,Away,North Dakota,48
November 6 2018,North Dakota,Home,Northland,104
November 6 2018,Oakland City,Away,Austin Peay,53
November 6 2018,Austin Peay,Home,Oakland City,114
November 6 2018,Oral Roberts,Away,Missouri State,50
November 6 2018,Missouri State,Home,Oral Roberts,84
November 6 2018,Pacific,Away,SIU-Edwardsville,74
November 6 2018,SIU-Edwardsville,Home,Pacific,65
November 6 2018,Penn,Away,George Mason,72
November 6 2018,George Mason,Home,Penn,71
November 6 2018,Presbyterian,Away,College of Charleston,73
November 6 2018,College of Charleston,Home,Presbyterian,85
November 6 2018,Randolph,Away,Longwood,56
November 6 2018,Longwood,Home,Randolph,84
November 6 2018,Rider,Away,UCF,70
November 6 2018,UCF,Home,Rider,84
November 6 2018,Rivier,Away,New Hampshire,54
November 6 2018,New Hampshire,Home,Rivier,108
November 6 2018,Robert Morris,Away,USC,62
November 6 2018,USC,Home,Robert Morris,83
November 6 2018,Rochester (MI),Away,Eastern Michigan,67
November 6 2018,Eastern Michigan,Home,Rochester (MI),77
November 6 2018,Rockford,Away,Northern Illinois,54
November 6 2018,Northern Illinois,Home,Rockford,93
November 6 2018,Sacred Heart,Away,Holy Cross,81
November 6 2018,Holy Cross,Home,Sacred Heart,93
November 6 2018,Saint Francis (PA),Away,Buffalo,67
November 6 2018,Buffalo,Home,Saint Francis (PA),82
November 6 2018,Saint Leo,Away,Rice,64
November 6 2018,Rice,Home,Saint Leo,80
November 6 2018,San Francisco,Away,UC-Davis,76
November 6 2018,UC-Davis,Home,San Francisco,42
November 6 2018,Southeastern Baptist,Away,Southern Miss,66
November 6 2018,Southern Miss,Home,Southeastern Baptist,111
November 6 2018,Seattle,Away,Stanford,74
November 6 2018,Stanford,Home,Seattle,96
November 6 2018,Sewanee,Away,Lipscomb,53
November 6 2018,Lipscomb,Home,Sewanee,97
November 6 2018,Siena,Away,Providence,67
November 6 2018,Providence,Home,Siena,77
November 6 2018,USC Upstate,Away,South Carolina,52
November 6 2018,South Carolina,Home,USC Upstate,65
November 6 2018,Southeast Missouri State,Away,Saint Louis,65
November 6 2018,Saint Louis,Home,Southeast Missouri State,75
November 6 2018,Southern,Away,Alabama,62
November 6 2018,Alabama,Home,Southern,82
November 6 2018,Spring Hill,Away,New Orleans,66
November 6 2018,New Orleans,Home,Spring Hill,95
November 6 2018,Stony Brook,Away,George Washington,77
November 6 2018,George Washington,Home,Stony Brook,74
November 6 2018,Tennessee Tech,Away,Memphis,61
November 6 2018,Memphis,Home,Tennessee Tech,76
November 6 2018,Texas A&M-Commerce,Away,Texas-Rio Grande Valley,84
November 6 2018,Texas-Rio Grande Valley,Home,Texas A&M-Commerce,91
November 6 2018,Texas-Permian Basin,Away,UTEP,63
November 6 2018,UTEP,Home,Texas-Permian Basin,90
November 6 2018,Texas Southern,Away,Baylor,72
November 6 2018,Baylor,Home,Texas Southern,69
November 6 2018,Texas-Tyler,Away,Texas-Arlington,66
November 6 2018,Texas-Arlington,Home,Texas-Tyler,90
November 6 2018,Texas Wesleyan,Away,Stephen F. Austin,71
November 6 2018,Stephen F. Austin,Home,Texas Wesleyan,83
November 6 2018,Tiffin,Away,Bowling Green State,52
November 6 2018,Bowling Green State,Home,Tiffin,91
November 6 2018,Utah State,Away,Montana State,101
November 6 2018,Montana State,Home,Utah State,71
November 6 2018,UVI,Away,Louisiana,80
November 6 2018,Louisiana,Home,UVI,121
November 6 2018,Wagner,Away,Seton Hall,49
November 6 2018,Seton Hall,Home,Wagner,89
November 6 2018,Washington College,Away,VMI,56
November 6 2018,VMI,Home,Washington College,89
November 6 2018,Weber State,Away,San Diego,66
November 6 2018,San Diego,Home,Weber State,83
November 6 2018,West Coast Baptist,Away,Southern Utah,63
November 6 2018,Southern Utah,Home,West Coast Baptist,109
November 6 2018,Westcliff,Away,Loyola Marymount,43
November 6 2018,Loyola Marymount,Home,Westcliff,75
November 6 2018,Western Illinois,Away,Creighton,67
November 6 2018,Creighton,Home,Western Illinois,78
November 6 2018,Westminster (MO),Away,Utah Valley,71
November 6 2018,Utah Valley,Home,Westminster (MO),96
November 6 2018,Wilmington (OH),Away,Northern Kentucky,38
November 6 2018,Northern Kentucky,Home,Wilmington (OH),102
November 6 2018,Winthrop,Away,Vanderbilt,79
November 6 2018,Vanderbilt,Home,Winthrop,92
November 6 2018,Wisconsin Lutheran,Away,Green Bay,54
November 6 2018,Green Bay,Home,Wisconsin Lutheran,110
November 6 2018,Youngstown State,Away,Pitt,53
November 6 2018,Pitt,Home,Youngstown State,69
November 7 2018,Cal State Bakersfield,Away,TCU,61
November 7 2018,TCU,Home,Cal State Bakersfield,66
November 7 2018,Bethune-Cookman,Away,DePaul,58
November 7 2018,DePaul,Home,Bethune-Cookman,80
November 7 2018,Bucknell,Away,St. Bonaventure,88
November 7 2018,St. Bonaventure,Home,Bucknell,85
November 7 2018,Cal St Dominguez Hills,Away,Pepperdine,66
November 7 2018,Pepperdine,Home,Cal St Dominguez Hills,100
November 7 2018,Carver Bible,Away,Georgia Southern,51
November 7 2018,Georgia Southern,Home,Carver Bible,139
November 7 2018,Colorado Christian,Away,Colorado State,66
November 7 2018,Colorado State,Home,Colorado Christian,100
November 7 2018,Florida Tech,Away,Florida Atlantic,52
November 7 2018,Florida Atlantic,Home,Florida Tech,98
November 7 2018,High Point,Away,William & Mary,69
November 7 2018,William & Mary,Home,High Point,79
November 7 2018,Houston Baptist,Away,Arizona,60
November 7 2018,Arizona,Home,Houston Baptist,90
November 7 2018,Howard Payne,Away,Texas A&M-Corpus Christi,34
November 7 2018,Texas A&M-Corpus Christi,Home,Howard Payne,81
November 7 2018,Johnson University,Away,Stetson,66
November 7 2018,Stetson,Home,Johnson University,116
November 7 2018,Lafayette,Away,St. Peter's,86
November 7 2018,St. Peter's,Home,Lafayette,93
November 7 2018,Life Pacific,Away,San Jose State,72
November 7 2018,San Jose State,Home,Life Pacific,89
November 7 2018,Marshall,Away,Eastern Kentucky,105
November 7 2018,Eastern Kentucky,Home,Marshall,77
November 7 2018,McNeese State,Away,Saint Mary's,65
November 7 2018,Saint Mary's,Home,McNeese State,87
November 7 2018,Medgar Evers,Away,St. Francis (NY),42
November 7 2018,St. Francis (NY),Home,Medgar Evers,92
November 7 2018,Menlo,Away,Cal Poly,75
November 7 2018,Cal Poly,Home,Menlo,82
November 7 2018,North Florida,Away,Dayton,70
November 7 2018,Dayton,Home,North Florida,78
November 7 2018,Oglethorpe,Away,Kennesaw State,57
